날짜,요일,경기장,날씨,평균기온,관중수,확진자 수
2017-07-25,화,서울 잠실 야구장,구름조금,35.4℃,8130,0
2017-07-26,수,서울 잠실 야구장,구름조금,32.8℃,8292,0
2017-07-27,목,서울 잠실 야구장,비,29.7℃,9443,0
2017-07-28,금,서울 잠실 야구장,비,26.9℃,23112,0
2017-07-29,토,서울 잠실 야구장,구름많음,30.1℃,25000,0
2017-07-30,일,서울 잠실 야구장,흐림,32.6℃,25000,0
2017-08-01,화,서울 잠실 야구장,비,33℃,16971,0
2017-08-02,수,서울 잠실 야구장,구름조금,33℃,15796,0
2017-08-03,목,서울 잠실 야구장,구름많음,33.9℃,15429,0
2017-08-04,금,서울 잠실 야구장,구름많음,35.3℃,20144,0
2017-08-05,토,서울 잠실 야구장,구름조금,34.8℃,22428,0
2017-08-06,일,서울 잠실 야구장,비,34℃,17714,0
2017-08-08,화,서울 잠실 야구장,흐림,31℃,13985,0
2017-08-09,수,서울 잠실 야구장,비,32℃,15137,0
2017-08-10,목,서울 잠실 야구장,비,26.3℃,7755,0
2017-08-11,금,서울 잠실 야구장,비,32.4℃,9598,0
2017-08-12,토,서울 잠실 야구장,구름많음,32.6℃,17047,0
2017-08-13,일,서울 잠실 야구장,흐림,28.4℃,15344,0
2017-08-16,수,서울 잠실 야구장,비,26.8℃,7168,0
2017-08-17,목,서울 잠실 야구장,비,27.7℃,20103,0
2017-08-18,금,서울 잠실 야구장,흐림,30.6℃,22357,0
2017-08-19,토,서울 잠실 야구장,흐림,28.7℃,18337,0
2017-08-22,화,서울 잠실 야구장,구름조금,31.5℃,8626,0
2017-08-23,수,서울 잠실 야구장,비,30.2℃,7105,0
2017-08-24,목,서울 잠실 야구장,비,28.1℃,7139,0
2017-08-25,금,서울 잠실 야구장,구름많음,30.6℃,10083,0
2017-08-26,토,서울 잠실 야구장,맑음,29.2℃,25000,0
2017-08-27,일,서울 잠실 야구장,흐림,26.7℃,19592,0
2017-08-29,화,서울 잠실 야구장,구름많음,24℃,17150,0
2017-08-30,수,서울 잠실 야구장,구름많음,23.9℃,17652,0
2017-08-31,목,서울 잠실 야구장,맑음,27.6℃,8161,0
2017-09-01,금,서울 잠실 야구장,맑음,29.7℃,9705,0
2017-09-02,토,서울 잠실 야구장,구름조금,29.6℃,21185,0
2017-09-03,일,서울 잠실 야구장,구름조금,29.2℃,21654,0
2017-09-05,화,서울 잠실 야구장,흐림,23.7℃,17754,0
2017-09-06,수,서울 잠실 야구장,비,24℃,16971,0
2017-09-07,목,서울 잠실 야구장,구름많음,27.5℃,8151,0
2017-09-08,금,서울 잠실 야구장,구름조금,29.9℃,10353,0
2017-09-09,토,서울 잠실 야구장,구름조금,28.2℃,24112,0
2017-09-10,일,서울 잠실 야구장,비,26.1℃,21683,0
2017-09-12,화,서울 잠실 야구장,맑음,27.9℃,17685,0
2017-09-13,수,서울 잠실 야구장,맑음,27.5℃,19068,0
2017-09-14,목,서울 잠실 야구장,맑음,29.5℃,12965,0
2017-09-15,금,서울 잠실 야구장,구름조금,27.9℃,14770,0
2017-09-16,토,서울 잠실 야구장,구름조금,27.6℃,19961,0
2017-09-17,일,서울 잠실 야구장,구름조금,29.2℃,16454,0
2017-09-19,화,서울 잠실 야구장,비,25.8℃,5523,0
2017-09-20,수,서울 잠실 야구장,맑음,24.9℃,9719,0
2017-09-24,일,서울 잠실 야구장,구름많음,27.9℃,18802,0
2017-09-29,금,서울 잠실 야구장,구름조금,23.5℃,22246,0
2017-09-30,토,서울 잠실 야구장,구름조금,25.9℃,18477,0
2017-10-01,일,서울 잠실 야구장,비,21.2℃,19440,0
2017-10-03,화,서울 잠실 야구장,구름많음,23.6℃,25000,0
2018-03-24,토,서울 잠실 야구장,구름많음,13.1℃,25000,0
2018-03-25,일,서울 잠실 야구장,구름조금,16.9℃,20240,0
2018-03-27,화,서울 잠실 야구장,구름조금,20℃,10391,0
2018-03-28,수,서울 잠실 야구장,구름조금,19℃,10382,0
2018-03-29,목,서울 잠실 야구장,구름조금,21.1℃,10956,0
2018-03-30,금,서울 잠실 야구장,맑음,21.9℃,22667,0
2018-03-31,토,서울 잠실 야구장,구름조금,20.1℃,25000,0
2018-04-01,일,서울 잠실 야구장,흐림,18.5℃,23815,0
2018-04-03,화,서울 잠실 야구장,비,21.2℃,13557,0
2018-04-04,수,서울 잠실 야구장,비,18.2℃,12742,0
2018-04-07,토,서울 잠실 야구장,비,8.6℃,16586,0
2018-04-08,일,서울 잠실 야구장,비,7.9℃,13877,0
2018-04-10,화,서울 잠실 야구장,비,21.9℃,8069,0
2018-04-11,수,서울 잠실 야구장,구름조금,17.3℃,8940,0
2018-04-12,목,서울 잠실 야구장,맑음,19.6℃,9825,0
2018-04-13,금,서울 잠실 야구장,흐림,19.3℃,10899,0
2018-04-14,토,서울 잠실 야구장,비,14.8℃,12862,0
2018-04-15,일,서울 잠실 야구장,구름조금,14.2℃,15336,0
2018-04-17,화,서울 잠실 야구장,맑음,20.1℃,16073,0
2018-04-18,수,서울 잠실 야구장,맑음,19.3℃,16437,0
2018-04-19,목,서울 잠실 야구장,맑음,20.5℃,16104,0
2018-04-20,금,서울 잠실 야구장,맑음,26.3℃,23214,0
2018-04-21,토,서울 잠실 야구장,구름조금,25.6℃,25000,0
2018-04-22,일,서울 잠실 야구장,비,21℃,22177,0
2018-04-24,화,서울 잠실 야구장,비,16.1℃,8531,0
2018-04-25,수,서울 잠실 야구장,맑음,23.3℃,10744,0
2018-04-26,목,서울 잠실 야구장,구름조금,22.1℃,11008,0
2018-04-27,금,서울 잠실 야구장,맑음,23.3℃,15885,0
2018-04-28,토,서울 잠실 야구장,맑음,21.7℃,23380,0
2018-04-29,일,서울 잠실 야구장,맑음,22.9℃,21031,0
2018-05-01,화,서울 잠실 야구장,흐림,23.3℃,13421,0
2018-05-03,목,서울 잠실 야구장,비,14.7℃,10196,0
2018-05-04,금,서울 잠실 야구장,맑음,20℃,23098,0
2018-05-05,토,서울 잠실 야구장,구름많음,24.6℃,25000,0
2018-05-06,일,서울 잠실 야구장,비,20.7℃,21014,0
2018-05-08,화,서울 잠실 야구장,구름조금,22.9℃,13448,0
2018-05-09,수,서울 잠실 야구장,맑음,21.8℃,18561,0
2018-05-10,목,서울 잠실 야구장,구름조금,21.4℃,19697,0
2018-05-11,금,서울 잠실 야구장,흐림,21.3℃,14269,0
2018-05-13,일,서울 잠실 야구장,비,20℃,17813,0
2018-05-15,화,서울 잠실 야구장,흐림,29.3℃,13222,0
2018-05-16,수,서울 잠실 야구장,비,24.4℃,7119,0
2018-05-18,금,서울 잠실 야구장,비,19.3℃,21431,0
2018-05-19,토,서울 잠실 야구장,맑음,24.7℃,25000,0
2018-05-20,일,서울 잠실 야구장,구름조금,22.6℃,25000,0
2018-05-22,화,서울 잠실 야구장,비,23.2℃,18543,0
2018-05-23,수,서울 잠실 야구장,비,23.3℃,9279,0
2018-05-24,목,서울 잠실 야구장,맑음,23.7℃,11075,0
2018-05-25,금,서울 잠실 야구장,구름조금,26.2℃,15168,0
2018-05-26,토,서울 잠실 야구장,맑음,29.6℃,25000,0
2018-05-27,일,서울 잠실 야구장,구름많음,24.7℃,21171,0
