관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : K LEAGUE,KBO  리그 : K LEAGUE 1  시즌 : 2017,2018,2019,2020,2021  시즌구분  : RL  팀 : FC 서울,전북 현대,대구 FC,울산 현대,수원 삼성,두산,LG,롯데, SSG,NC  구단구분 : HOME     요일 : 전체   undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KBO,정규리그,2021 시즌,2021,06,08,화, SSG,KT,인천SSG 랜더스필드,비,24.4℃,1902
KBO,정규리그,2021 시즌,2021,06,08,화,LG,NC,서울 잠실 야구장,비,29.5℃,1847
KLEAGUE,K LEAGUE 1,2021 시즌,2021,06,06,일,대구 FC,FC 서울,DGB대구은행파크,비,30.4℃,1232
KBO,정규리그,2021 시즌,2021,06,06,일,NC,한화,창원NC파크,구름조금,28.6℃,2296
KBO,정규리그,2021 시즌,2021,06,06,일,두산, SSG,서울 잠실 야구장,구름조금,28.2℃,2427
KBO,정규리그,2021 시즌,2021,06,05,토,두산, SSG,서울 잠실 야구장,구름조금,25.7℃,2427
KBO,정규리그,2021 시즌,2021,06,05,토,NC,한화,창원NC파크,구름조금,28.2℃,3365
KBO,정규리그,2021 시즌,2021,06,04,금,NC,한화,창원NC파크,비,27.3℃,1742
KBO,정규리그,2021 시즌,2021,06,04,금,두산, SSG,서울 잠실 야구장,구름조금,23.6℃,2427
KBO,정규리그,2021 시즌,2021,06,02,수,NC,두산,창원NC파크,흐림,28.6℃,1354
KBO,정규리그,2021 시즌,2021,06,02,수,LG,KT,서울 잠실 야구장,구름조금,29.7℃,1820
KBO,정규리그,2021 시즌,2021,06,02,수, SSG,삼성,인천SSG 랜더스필드,구름조금,27.4℃,2300
KBO,정규리그,2021 시즌,2021,06,01,화,NC,두산,창원NC파크,구름조금,28.7℃,1414
KBO,정규리그,2021 시즌,2021,06,01,화, SSG,삼성,인천SSG 랜더스필드,비,22.3℃,2300
KBO,정규리그,2021 시즌,2021,06,01,화,LG,KT,서울 잠실 야구장,비,23.9℃,1656
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,30,일,대구 FC,강원 FC,DGB대구은행파크,구름조금,28.5℃,3096
KBO,정규리그,2021 시즌,2021,05,30,일,LG,키움히어로즈,서울 잠실 야구장,비,26.3℃,2472
KBO,정규리그,2021 시즌,2021,05,30,일,롯데,NC,부산 사직 야구장,맑음,23.9℃,2874
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,29,토,FC 서울,수원 삼성,서울월드컵경기장,비,19.1℃,4976
KBO,정규리그,2021 시즌,2021,05,29,토,롯데,NC,부산 사직 야구장,맑음,22.8℃,0
KBO,정규리그,2021 시즌,2021,05,29,토,롯데,NC,부산 사직 야구장,맑음,22.8℃,3527
KBO,정규리그,2021 시즌,2021,05,29,토,LG,키움히어로즈,서울 잠실 야구장,비,19.1℃,2429
KBO,정규리그,2021 시즌,2021,05,28,금,LG,키움히어로즈,서울 잠실 야구장,비,19.7℃,2409
KBO,정규리그,2021 시즌,2021,05,27,목,NC,삼성,창원NC파크,구름조금,24.5℃,1763
KBO,정규리그,2021 시즌,2021,05,27,목,롯데,LG,부산 사직 야구장,비,20.9℃,1310
KBO,정규리그,2021 시즌,2021,05,27,목,두산,한화,서울 잠실 야구장,비,18.7℃,2085
KBO,정규리그,2021 시즌,2021,05,26,수,NC,삼성,창원NC파크,흐림,23.9℃,2199
KBO,정규리그,2021 시즌,2021,05,26,수,롯데,LG,부산 사직 야구장,비,22.1℃,1536
KBO,정규리그,2021 시즌,2021,05,26,수,두산,한화,서울 잠실 야구장,흐림,23℃,2385
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,23,일,대구 FC,전북 현대,DGB대구은행파크,구름조금,30.8℃,3085
KBO,정규리그,2021 시즌,2021,05,23,일,두산,롯데,서울 잠실 야구장,구름많음,25.1℃,2427
KBO,정규리그,2021 시즌,2021,05,23,일, SSG,LG,인천SSG 랜더스필드,구름많음,22℃,2300
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,22,토,울산 현대,포항 스틸러스,울산문수축구경기장,맑음,24.5℃,4040
KBO,정규리그,2021 시즌,2021,05,22,토, SSG,LG,인천SSG 랜더스필드,맑음,20.6℃,2300
KBO,정규리그,2021 시즌,2021,05,22,토,두산,롯데,서울 잠실 야구장,비,23.8℃,2427
KBO,정규리그,2021 시즌,2021,05,21,금, SSG,LG,인천SSG 랜더스필드,비,17.9℃,2300
KBO,정규리그,2021 시즌,2021,05,21,금,두산,롯데,서울 잠실 야구장,비,18.2℃,2427
KBO,정규리그,2021 시즌,2021,05,20,목,LG,NC,서울 잠실 야구장,비,22.9℃,1929
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,19,수,수원 삼성,대구 FC,수원월드컵경기장,구름조금,26.2℃,3304
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,19,수,전북 현대,울산 현대,전주월드컵경기장,구름조금,27.5℃,5980
